City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,santa ana,33.7456,-117.8678,75.94,65.0,65.0,75.0,US,1718649724.0
239,ferkessedougou,9.6,-5.2,76.71,85.0,85.0,99.0,CI,1718649802.0
240,guelmim,28.987,-10.0574,71.94,68.0,68.0,0.0,MA,1718649804.0
241,wellington,-41.2866,174.7756,53.26,93.0,93.0,75.0,NZ,1718649805.0
242,arraial do cabo,-22.9661,-42.0278,85.96,51.0,51.0,0.0,BR,1718649806.0
243,emerald,-23.5333,148.1667,41.81,54.0,54.0,0.0,AU,1718649807.0
244,ambodifotatra,-16.9833,49.85,77.29,72.0,72.0,87.0,MG,1718649808.0
245,taiohae,,,,,,,,
246,zabaykal'sk,49.6333,117.3167,56.37,59.0,59.0,98.0,RU,1718649810.0
247,ejido benito juarez,,,,,,,,
248,codrington,-38.2667,141.9667,39.97,90.0,90.0,22.0,AU,1718649813.0
249,walvis bay,-22.9575,14.5053,61.75,72.0,72.0,0.0,NA,1718649814.0
250,prado,-17.3411,-39.2208,78.13,71.0,71.0,0.0,BR,1718649693.0
251,port saint john's,-31.6229,29.5448,66.07,64.0,64.0,0.0,ZA,1718649816.0
252,sao joao da barra,-21.6403,-41.0511,84.29,76.0,76.0,8.0,BR,1718649817.0
253,batangafo,7.3008,18.2833,76.91,73.0,73.0,100.0,CF,1718649818.0
254,dien bien phu,21.3833,103.0167,73.09,100.0,100.0,100.0,VN,1718649820.0
255,lompoc,34.6391,-120.4579,78.78,66.0,66.0,0.0,US,1718649435.0
256,piterka,50.6803,47.4454,75.85,55.0,55.0,21.0,RU,1718649822.0
257,fada,9.5667,8.3,73.81,78.0,78.0,25.0,NG,1718649823.0
258,sambava,-14.2667,50.1667,74.79,81.0,81.0,90.0,MG,1718649824.0
259,waat,51.1454,6.4958,70.21,69.0,69.0,20.0,DE,1718649825.0
260,port augusta,-32.5,137.7667,52.86,79.0,79.0,100.0,AU,1718649826.0
261,sharkan,57.2989,53.8712,61.36,79.0,79.0,37.0,RU,1718649827.0
262,kapuskasing,49.4169,-82.4331,78.89,73.0,73.0,100.0,CA,1718649829.0
263,cienfuegos,22.1461,-80.4356,91.54,58.0,58.0,40.0,CU,1718649830.0
264,talara,-4.5772,-81.2719,77.76,61.0,61.0,0.0,PE,1718649831.0
265,serdar,38.9764,56.2757,91.44,20.0,20.0,0.0,TM,1718649832.0
266,childress,34.4264,-100.204,89.85,51.0,51.0,20.0,US,1718649833.0
267,keflavik,64.0049,-22.5624,48.63,87.0,87.0,100.0,IS,1718649834.0
268,nabire,-3.3667,135.4833,74.08,95.0,95.0,100.0,ID,1718649835.0
269,anupgarh,29.1911,73.2086,102.9,25.0,25.0,0.0,IN,1718649836.0
270,ikryanoye,46.0932,47.7308,80.58,62.0,62.0,99.0,RU,1718649838.0
271,potosi,-19.5836,-65.7531,58.06,23.0,23.0,0.0,BO,1718649839.0
272,phongsali,21.6833,102.1058,66.47,100.0,100.0,100.0,LA,1718649840.0
273,cabo san lucas,22.8909,-109.9124,90.7,47.0,47.0,0.0,MX,1718649693.0
274,lata,40.1629,-8.3327,65.07,96.0,96.0,100.0,PT,1718649842.0
